"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"A1BG","A1BG",0.00971995290349425,2960.10161318396,0.88,"<=",18.4331790345893,"maximize_metric",0.273892773892774,0.456221198156682,0.41025641025641,0.863636363636364,0.537762237762238,"COVID19","HC",0.898617511520737,"class","x",NA,115,80,19,3,0.967339018207585,-0.74436944969799,"Sensitivity: 18",0.41025641025641,0.863636363636364,-1.58914265383248,0.205827539721651,7.75017543859649,5.6856970121251,0.0827675783254497,0.733621716975577,-0.850032674955172,0.967339018207585,"FN: 66","(0.8, Inf]"
"A2M","A2M",1.1198594551236,489.650857906834,0.19,"<=",21.1349027650599,"maximize_metric",0.358041958041958,0.640552995391705,0.630769230769231,0.727272727272727,0.668531468531468,"COVID19","HC",0.898617511520737,"class","x",NA,72,123,16,6,-1.2147545747876,-0.142361472072795,"Specificity: 22",0.630769230769231,0.727272727272727,0.329537486339798,0.460619676972273,3.18541666666667,3.76819049439781,0.133461091113149,1.18295058032109,0.583808745252253,-1.2147545747876,"Neither: 35","(-Inf,-0.8]"
"ACTB","ACTB",4.09117873886636,1579.5002415611,0.69,"<=",15.4719618818327,"maximize_metric",0.848251748251748,0.972350230414747,0.984615384615385,0.863636363636364,0.936130536130536,"COVID19","HC",0.898617511520737,"class","x",NA,3,192,19,3,0.366472666513258,0.13109928765591,"Neither: 62",0.984615384615385,0.863636363636364,-1.18272626244489,0.337430983939614,6.57684210526316,4.02201512288619,0.0689944811618251,0.611541992116177,-1.23959804755919,0.366472666513258,"FN: 66","(-0.8,0.8]"
"AGT","AGT",1.41977422109748,3407.81998010847,0.74,">=",17.7898276685326,"maximize_metric",0.534032634032634,0.617511520737327,0.57948717948718,0.954545454545455,0.71958041958042,"COVID19","HC",0.898617511520737,"class","x",NA,82,113,21,1,0.524595390643344,-0.499091724216513,"Neither: 62",0.57948717948718,0.954545454545455,-2.22875619578519,0.0955296328920055,17.6,9.13936795340593,0.0585856920090123,0.519282270079882,-1.53400559994191,0.524595390643344,"FN: 66","(-0.8,0.8]"
"AHSG","AHSG",3.32893844683597,304.319396657145,0.38,"<=",18.4961414463581,"maximize_metric",0.724475524475524,0.824884792626728,0.815384615384615,0.909090909090909,0.906993006993007,"COVID19","HC",0.898617511520737,"class","x",NA,36,159,20,2,-0.613888223093275,-0.10878517653919,"Neither: 62",0.815384615384615,0.909090909090909,-0.756797712380374,0.28545081612907,5.962,3.59839132276064,0.0680933167330995,0.60355439831611,-1.26508704631403,-0.613888223093275,"FN: 66","(-0.8,0.8]"
"ALB","ALB",5.08651262989864,207.192998016568,0.49,"<=",23.7870471032277,"maximize_metric",0.897435897435897,0.907834101382488,0.897435897435897,1,0.970862470862471,"COVID19","HC",0.898617511520737,"class","x",NA,20,175,22,0,-0.266018230007086,-0.108213584640233,"Neither: 62",0.897435897435897,0.9999,-4.51291577471788,0.000636661704412247,4901.51015101564,771.150468485304,0.0177499563676846,0.157329158713568,-2.6890245750993,-0.266018230007086,"FN: 66","(-0.8,0.8]"
"APCS","APCS",4.99786910322424,797.80816813002,0.53,">=",17.4992094783152,"maximize_metric",0.764102564102564,0.788018433179724,0.764102564102564,1,0.943356643356643,"COVID19","HC",0.898617511520737,"class","x",NA,46,149,22,0,-0.139520050703017,-0.269053252618288,"Neither: 62",0.764102564102564,0.9999,-4.88133338979695,0.000441884667701221,5301.47014701528,1200.87863736978,0.0255558816603984,0.226518041989894,-2.46823776447501,-0.139520050703017,"FN: 66","(-0.8,0.8]"
"APOA1","APOA1",5.87301486511441,223.90285594855,0.61,"<=",22.7360354803509,"maximize_metric",0.883449883449883,0.967741935483871,0.974358974358974,0.909090909090909,0.984848484848485,"COVID19","HC",0.898617511520737,"class","x",NA,5,190,20,2,0.113476307905121,0.0693346934010642,"Neither: 62",0.974358974358974,0.909090909090909,-1.33023496647899,0.269700391108341,8.239,4.16509747872435,0.0570346441919051,0.505534346246432,-1.57787623510985,0.113476307905121,"FN: 66","(-0.8,0.8]"
"APOA2","APOA2",3.4026980093207,164.124435358412,0.29,"<=",20.0258108988112,"maximize_metric",0.830769230769231,0.847926267281106,0.830769230769231,1,0.918414918414918,"COVID19","HC",0.898617511520737,"class","x",NA,33,162,22,0,-0.898509126527429,-0.185403223331363,"Specificity: 22",0.830769230769231,0.9999,-2.67082769932256,0.00184230044595217,2901.71017101742,159.125048783534,0.00618689274540908,0.0548383675161259,-3.01608022096757,-0.898509126527429,"FN: 66","(-Inf,-0.8]"
"APOA4","APOA4",3.76711087777997,560.832775092179,0.42,"<=",19.2330085836452,"maximize_metric",0.685547785547786,0.898617511520737,0.912820512820513,0.772727272727273,0.919347319347319,"COVID19","HC",0.898617511520737,"class","x",NA,17,178,17,5,-0.487390043789206,0.166613101030438,"Neither: 62",0.912820512820513,0.772727272727273,-0.214903914490853,0.46941022384943,3.89270588235294,3.87255818236687,0.112236581253814,0.994824242931529,-0.0165162211268823,-0.487390043789206,"Neither: 35","(-0.8,0.8]"
"APOB","APOB",1.17372652490294,167.862983552666,0.71,"<=",19.1068392374546,"maximize_metric",0.418181818181818,0.622119815668203,0.6,0.818181818181818,0.694871794871795,"COVID19","HC",0.898617511520737,"class","x",NA,78,117,18,4,0.429721756165292,-0.31015492830384,"Neither: 62",0.6,0.818181818181818,-0.951505948343107,0.315662407113676,5.48166666666667,4.1342729167563,0.0850892290559568,0.754199984814162,-0.784365910164242,0.429721756165292,"Neither: 35","(-0.8,0.8]"
"APOC1","APOC1",7.12905965444279,455.420136047008,0.75,"<=",17.8414038512129,"maximize_metric",0.928205128205128,0.935483870967742,0.928205128205128,1,0.988344988344988,"COVID19","HC",0.898617511520737,"class","x",NA,14,181,22,0,0.556219935469361,-0.074502527297921,"Neither: 62",0.928205128205128,0.9999,-6.9076302727318,0.000347953435788858,7501.25012501333,2156.71126076271,0.0324374292804417,0.287513577713006,-2.27359652795091,0.556219935469361,"FN: 66","(-0.8,0.8]"
"APOC2","APOC2",3.8097072574556,897.323686806752,0.34,"<=",16.4437686360078,"maximize_metric",0.82051282051282,0.838709677419355,0.82051282051282,1,0.907226107226107,"COVID19","HC",0.898617511520737,"class","x",NA,35,160,22,0,-0.740386402397343,-0.19782574332992,"Neither: 62",0.82051282051282,0.9999,-3.13134971817139,0.00117230205689116,3401.66016601698,291.689589220464,0.00967426710316873,0.0857491856871773,-2.91744152881645,-0.740386402397343,"FN: 66","(-0.8,0.8]"
"APOC3","APOC3",1.74911353445199,1629.91119500933,0.5,"<=",18.5117737461832,"maximize_metric",0.479020979020979,0.640552995391705,0.615384615384615,0.863636363636364,0.744988344988345,"COVID19","HC",0.898617511520737,"class","x",NA,75,120,19,3,-0.234393685181068,-0.338904341589825,"Neither: 62",0.615384615384615,0.863636363636364,-0.77630987105729,0.282061796582002,5.40350877192983,3.86197750288464,0.0806346951151738,0.714716615793586,-0.910360241998438,-0.234393685181068,"FN: 66","(-0.8,0.8]"
"APOE","APOE",0.426197170602115,534.452279402877,0.52,"<=",17.7079444158135,"maximize_metric",0.196969696969697,0.387096774193548,0.333333333333333,0.863636363636364,0.564335664335664,"COVID19","HC",0.898617511520737,"class","x",NA,130,65,19,3,-0.171144595529034,-0.952008814476234,"Neither: 62",0.333333333333333,0.863636363636364,-0.819090543834932,0.217105209067601,5.52701754385965,4.28557214934518,0.0874794486866765,0.775386022450087,-0.716759707290282,-0.171144595529034,"Neither: 35","(-0.8,0.8]"
"APOH","APOH",3.10883615574166,257.308730405253,0.41,"<=",14.7421369800242,"maximize_metric",0.684149184149184,0.824884792626728,0.82051282051282,0.863636363636364,0.892307692307692,"COVID19","HC",0.898617511520737,"class","x",NA,35,160,19,3,-0.519014588615223,-0.0512222691380445,"Neither: 62",0.82051282051282,0.863636363636364,-0.583796843557903,0.346286905905071,4.84771929824561,3.6162490034469,0.0841606210993278,0.745969141562223,-0.810631135794294,-0.519014588615223,"FN: 66","(-0.8,0.8]"
"APOL1","APOL1",0.0423777740390829,365.796007441637,0.95,"<=",15.9495430528281,"maximize_metric",0.10955710955711,0.56221198156682,0.564102564102564,0.545454545454545,0.516783216783217,"COVID19","HC",0.898617511520737,"class","x",NA,85,110,12,10,1.1887108319897,0.0336166107989851,"Sensitivity: 18",0.564102564102564,0.545454545454545,-0.112591898597225,0.593517287715555,4.015,4.18376303062933,0.11756271248695,1.04203313340706,0.134130817351469,1.1887108319897,"Neither: 35","(0.8, Inf]"
"C1QB","C1QB",0.594436857156389,1383.59311075018,0.63,"<=",15.0357351618212,"maximize_metric",0.30979020979021,0.488479262672811,0.446153846153846,0.863636363636364,0.592307692307692,"COVID19","HC",0.898617511520737,"class","x",NA,108,87,19,3,0.176725397557155,-0.660487965717288,"Neither: 62",0.446153846153846,0.863636363636364,-1.05438424411196,0.230425380802405,6.20631578947368,4.51427805503997,0.0820620771582085,0.72736841117503,-0.869987433265798,0.176725397557155,"FN: 66","(-0.8,0.8]"
"C1QC","C1QC",1.44890577804124,6466.42488179393,0.64,"<=",15.1224060400998,"maximize_metric",0.523076923076923,0.571428571428571,0.523076923076923,1,0.67016317016317,"COVID19","HC",0.898617511520737,"class","x",NA,93,102,22,0,0.208349942383172,-0.648026745279476,"Neither: 62",0.523076923076923,0.9999,-5.89448183126438,0.000244134911733574,6401.36013601431,2622.86167927131,0.046226519587274,0.40973505997811,-1.88357879704878,0.208349942383172,"FN: 66","(-0.8,0.8]"
"C1R","C1R",1.40004166467978,2389.81810162135,0.46,"<=",15.0247023976314,"maximize_metric",0.451282051282051,0.506912442396313,0.451282051282051,1,0.68974358974359,"COVID19","HC",0.898617511520737,"class","x",NA,107,88,22,0,-0.360891864485137,-0.79566274408554,"Neither: 62",0.451282051282051,0.9999,-4.23660256340858,0.000300810753821117,4601.54015401591,1530.74111248957,0.0375306944036544,0.332658427668755,-2.12953599443957,-0.360891864485137,"FN: 66","(-0.8,0.8]"
"C1S","C1S",0.279539744405441,3212.7804345842,0.8,">=",16.5218056672714,"maximize_metric",0.252680652680653,0.400921658986175,0.343589743589744,0.909090909090909,0.568065268065268,"COVID19","HC",0.898617511520737,"class","x",NA,128,67,20,2,0.714342659599447,-0.972996759368456,"Neither: 62",0.343589743589744,0.909090909090909,-1.80394400247351,0.13844272878376,10.12,7.17138951582637,0.0799486010682985,0.708635327650827,-0.929766079322978,0.714342659599447,"FN: 66","(-0.8,0.8]"
"C2","C2",1.26464027460314,6429.01394534348,0.61,">=",16.3152266144971,"maximize_metric",0.523076923076923,0.571428571428571,0.523076923076923,1,0.651282051282051,"COVID19","HC",0.898617511520737,"class","x",NA,93,102,22,0,0.113476307905121,-0.648026745279476,"Neither: 62",0.523076923076923,0.9999,-5.61816861995508,0.000255081956005863,6101.39013901457,2392.77863452934,0.0442447551234884,0.392169420412738,-1.93963204364802,0.113476307905121,"FN: 66","(-0.8,0.8]"
"C3","C3",-0.0387194539210024,1175.0790098014,1.33,">=",21.0148461553304,"maximize_metric",0.213053613053613,0.43778801843318,0.394871794871795,0.818181818181818,0.517948717948718,"COVID19","HC",0.898617511520737,"class","x",NA,118,77,18,4,2.39044353537836,-0.728523441247912,"Sensitivity: 18",0.394871794871795,0.818181818181818,-2.13286559671746,0.242990967255484,8.13388888888889,6.35851658129635,0.0881953406641117,0.781731428613717,-0.696511049953404,2.39044353537836,"Neither: 35","(0.8, Inf]"
"C4A","C4A",1.30222949700223,2565.24538869536,0.75,">=",16.8330714150949,"maximize_metric",0.514219114219114,0.63594470046083,0.605128205128205,0.909090909090909,0.715617715617716,"COVID19","HC",0.898617511520737,"class","x",NA,77,118,20,2,0.556219935469361,-0.407004754293757,"Neither: 62",0.605128205128205,0.909090909090909,-1.67928372984337,0.179069657313206,9.625,5.71097694939407,0.0669418543518718,0.593348254482501,-1.29765560124786,0.556219935469361,"FN: 66","(-0.8,0.8]"
"C4BPA","C4BPA",3.74669465911655,252.265351976888,0.44,"<=",14.8813991526553,"maximize_metric",0.749417249417249,0.811059907834101,0.794871794871795,0.954545454545455,0.91981351981352,"COVID19","HC",0.898617511520737,"class","x",NA,40,155,21,1,-0.424140954137172,-0.183054426009607,"Neither: 62",0.794871794871795,0.954545454545455,-1.28748745508723,0.172822506437471,11.3142857142857,4.43189608537428,0.0441926960080056,0.391707987343686,-1.94110451047807,-0.424140954137172,"FN: 66","(-0.8,0.8]"
"C4B","C4B",-0.0404376073198323,4508.13805238923,0.95,">=",19.7518016361818,"maximize_metric",0.30979020979021,0.488479262672811,0.446153846153846,0.863636363636364,0.545920745920746,"COVID19","HC",0.898617511520737,"class","x",NA,108,87,19,3,1.1887108319897,-0.660487965717288,"Sensitivity: 18",0.446153846153846,0.863636363636364,-1.73887500855423,0.207399409005199,8.18245614035088,5.90528677177429,0.0814226768241739,0.721700999123359,-0.88807256157152,1.1887108319897,"FN: 66","(0.8, Inf]"
"C5","C5",1.45997471732561,3204.66251978594,0.46,">=",16.9570437263172,"maximize_metric",0.508391608391608,0.594470046082949,0.553846153846154,0.954545454545455,0.699067599067599,"COVID19","HC",0.898617511520737,"class","x",NA,87,108,21,1,-0.360891864485137,-0.544348315804634,"Neither: 62",0.553846153846154,0.954545454545455,-1.35023870446709,0.124107918509098,11.7333333333333,5.46465912467436,0.052544799275715,0.465737993580201,-1.70486932075578,-0.360891864485137,"FN: 66","(-0.8,0.8]"
"C6","C6",1.10407139545302,360.554557979083,0.5,">=",14.8485045201953,"maximize_metric",0.406526806526807,0.539170506912442,0.497435897435897,0.909090909090909,0.678554778554779,"COVID19","HC",0.898617511520737,"class","x",NA,98,97,20,2,-0.234393685181068,-0.602978400256039,"Neither: 62",0.497435897435897,0.909090909090909,-1.0559823666927,0.189436600322266,7.15,4.48997015674713,0.070847655333288,0.627967854090507,-1.1871819150053,-0.234393685181068,"FN: 66","(-0.8,0.8]"
"C7","C7",0.625988207238213,315.782078821727,0.55,">=",14.8896684439765,"maximize_metric",0.270862470862471,0.56221198156682,0.543589743589744,0.727272727272727,0.608391608391608,"COVID19","HC",0.898617511520737,"class","x",NA,89,106,16,6,-0.0762709610509824,-0.291106733333145,"Neither: 62",0.543589743589744,0.727272727272727,-0.252847731149768,0.41911660780331,4.01041666666667,3.80848202143172,0.107139714009508,0.949647465084273,-0.160678638886133,-0.0762709610509824,"Neither: 35","(-0.8,0.8]"
"C8B","C8B",0.8188963413864,480.373546591084,0.45,"<=",14.9044651661668,"maximize_metric",0.291375291375291,0.580645161290323,0.564102564102564,0.727272727272727,0.623543123543124,"COVID19","HC",0.898617511520737,"class","x",NA,85,110,16,6,-0.392516409311154,-0.254065461652796,"Neither: 62",0.564102564102564,0.727272727272727,-0.0910740596248887,0.42948829196091,3.78125,3.76461771042138,0.112324258026559,0.995601377962679,-0.014036326137585,-0.392516409311154,"Neither: 35","(-0.8,0.8]"
"C8G","C8G",-0.172101006276392,1044.74256568503,1.84,">=",15.8693576598699,"maximize_metric",0.148484848484848,0.488479262672811,0.466666666666667,0.681818181818182,0.475291375291375,"COVID19","HC",0.898617511520737,"class","x",NA,104,91,15,7,4.00329532150523,-0.379147799790791,"Sensitivity: 18",0.466666666666667,0.681818181818182,-2.04576467955655,0.409755031837602,6.01752380952381,4.76156176038662,0.0892729063710797,0.791282579198206,-0.666032626607276,4.00329532150523,"Neither: 35","(0.8, Inf]"
"C9","C9",2.35677231067248,446.345732544823,0.21,">=",17.7634168601625,"maximize_metric",0.625641025641026,0.663594470046083,0.625641025641026,1,0.825641025641026,"COVID19","HC",0.898617511520737,"class","x",NA,73,122,22,0,-1.15150548513557,-0.46897851383049,"Specificity: 22",0.625641025641026,0.9999,-1.93399246916443,0.00231290293871343,2101.79017901813,92.5891400436794,0.00497002715381328,0.0440525134087995,-3.0504986739827,-1.15150548513557,"FN: 66","(-Inf,-0.8]"
"CFB","CFB",1.79862463503566,711.048215675546,0.37,">=",18.85864659677,"maximize_metric",0.504662004662005,0.663594470046083,0.641025641025641,0.863636363636364,0.761771561771562,"COVID19","HC",0.898617511520737,"class","x",NA,70,125,19,3,-0.645512767919292,-0.29808234706957,"Neither: 62",0.641025641025641,0.863636363636364,-0.498235498002619,0.3082742717513,4.60070175438597,3.55665519563602,0.087217925551219,0.773067976476714,-0.724156762324364,-0.645512767919292,"Neither: 35","(-0.8,0.8]"
"CFH","CFH",2.44698511171077,607.174298672133,0.38,"<=",18.0008844746033,"maximize_metric",0.543356643356643,0.84331797235023,0.861538461538462,0.681818181818182,0.824475524475525,"COVID19","HC",0.898617511520737,"class","x",NA,27,168,15,7,-0.613888223093275,0.233956673095618,"Neither: 62",0.861538461538462,0.681818181818182,0.185297173019751,0.541132462715039,3.57028571428571,4.23266162864016,0.133751496029619,1.18552462389889,0.592022707453099,-0.613888223093275,"Neither: 35","(-0.8,0.8]"
"CFI","CFI",0.9947760794393,2401.4901089143,0.16,">=",16.0551884091485,"maximize_metric",0.430769230769231,0.488479262672811,0.430769230769231,1,0.651282051282051,"COVID19","HC",0.898617511520737,"class","x",NA,111,84,22,0,-1.30962820926565,-0.842182759720433,"Specificity: 22",0.430769230769231,0.9999,-1.47347045031559,0.00207036814952395,1601.84018401858,79.1247589547639,0.00557290044983188,0.0493961630780553,-3.03344669522975,-1.30962820926565,"FN: 66","(-Inf,-0.8]"
"CLU","CLU",0.765300164930256,1001.98394240381,0.29,"<=",18.5723006924831,"maximize_metric",0.365501165501166,0.502304147465438,0.456410256410256,0.909090909090909,0.633333333333333,"COVID19","HC",0.898617511520737,"class","x",NA,106,89,20,2,-0.898509126527429,-0.689053009027282,"Specificity: 22",0.456410256410256,0.909090909090909,-0.532409221646132,0.215486783100405,5.071,3.52548578675698,0.0784356368375768,0.695224962878521,-0.972559538722529,-0.898509126527429,"FN: 66","(-Inf,-0.8]"
"CPN2","CPN2",0.343037280380286,4138.75863146683,0.66,"<=",15.2516797415306,"maximize_metric",0.317948717948718,0.387096774193548,0.317948717948718,1,0.565034965034965,"COVID19","HC",0.898617511520737,"class","x",NA,133,62,22,0,0.271599032035207,-1.14586517351866,"Neither: 62",0.317948717948718,0.9999,-6.07869063880391,0.000179741288028186,6601.34013401413,3673.28455174691,0.0627784417179778,0.556445278863895,-1.41541570812569,0.271599032035207,"FN: 66","(-0.8,0.8]"
"CP","CP",0.917675395840147,837.723504618805,0.67,">=",19.6568178394191,"maximize_metric",0.340559440559441,0.516129032258065,0.476923076923077,0.863636363636364,0.623776223776224,"COVID19","HC",0.898617511520737,"class","x",NA,102,93,19,3,0.303223576861224,-0.593796591218615,"Neither: 62",0.476923076923077,0.863636363636364,-1.13994558966724,0.232864788241984,6.45333333333333,4.61092919754146,0.0806106503066689,0.714503491354565,-0.911040337744016,0.303223576861224,"FN: 66","(-0.8,0.8]"
"CRP","CRP",3.30940263533643,314.441610615033,0.3,">=",15.1000310074384,"maximize_metric",0.748717948717949,0.774193548387097,0.748717948717949,1,0.892307692307692,"COVID19","HC",0.898617511520737,"class","x",NA,49,146,22,0,-0.866884581701412,-0.28939293685541,"Specificity: 22",0.748717948717949,0.9999,-2.76293210309232,0.00131152412531226,3001.70017001733,230.443735789932,0.00866135155928807,0.0767710706391442,-2.94609135365834,-0.866884581701412,"FN: 66","(-Inf,-0.8]"
"F2","F2",1.44446856034472,271.121123381476,0.42,"<=",17.8121042921746,"maximize_metric",0.393240093240093,0.63594470046083,0.620512820512821,0.772727272727273,0.726573426573427,"COVID19","HC",0.898617511520737,"class","x",NA,74,121,17,5,-0.487390043789206,-0.219379903664906,"Neither: 62",0.620512820512821,0.772727272727273,-0.214903914490853,0.399668319712637,3.89270588235294,3.68274981298289,0.106735452162966,0.946064235080832,-0.172112989127533,-0.487390043789206,"Neither: 35","(-0.8,0.8]"
"FCN3","FCN3",-0.229800282596172,969.886087652859,1.56,">=",14.5825825230667,"maximize_metric",0.143356643356643,0.483870967741935,0.461538461538462,0.681818181818182,0.459440559440559,"COVID19","HC",0.898617511520737,"class","x",NA,105,90,15,7,3.11780806637675,-0.390197635977376,"Sensitivity: 18",0.461538461538462,0.681818181818182,-1.61788980372,0.415457222409854,5.54819047619048,4.50762428366975,0.0916609632398567,0.81244944689873,-0.598487596405815,3.11780806637675,"Neither: 35","(0.8, Inf]"
"FGA","FGA",3.13624813677701,102.465705436913,0.31,">=",21.5237574556035,"maximize_metric",0.734032634032634,0.797235023041475,0.779487179487179,0.954545454545455,0.897668997668998,"COVID19","HC",0.898617511520737,"class","x",NA,43,152,21,1,-0.835260036875395,-0.202599022082578,"Specificity: 22",0.779487179487179,0.954545454545455,-0.879604334118109,0.210847005511942,8.5904761904762,3.61179696114569,0.0474344816660784,0.420441996585695,-1.84941217557428,-0.835260036875395,"FN: 66","(-Inf,-0.8]"
"FGB","FGB",1.36355618166168,1351.56171452947,0.6,">=",20.4760938659335,"maximize_metric",0.437296037296037,0.566820276497696,0.528205128205128,0.909090909090909,0.713053613053613,"COVID19","HC",0.898617511520737,"class","x",NA,92,103,20,2,0.0818517630791033,-0.542960390529786,"Neither: 62",0.528205128205128,0.909090909090909,-1.30530291195297,0.182502860178377,8.14,5.00016392656886,0.0693023413245858,0.614270752649737,-1.23089037218371,0.0818517630791033,"FN: 66","(-0.8,0.8]"
"FGG","FGG",1.20322595798459,650.1339708199,0.44,">=",20.8395684544017,"maximize_metric",0.427738927738928,0.594470046082949,0.564102564102564,0.863636363636364,0.696736596736597,"COVID19","HC",0.898617511520737,"class","x",NA,85,110,19,3,-0.424140954137172,-0.425915718579455,"Neither: 62",0.564102564102564,0.863636363636364,-0.647967852724365,0.278433419120268,5.03298245614035,3.7422327282568,0.0838867647910325,0.743541778829606,-0.818377028639859,-0.424140954137172,"FN: 66","(-0.8,0.8]"
"FN1","FN1",-0.447218217797467,481.100947732688,0.87,"<=",17.5916064006922,"maximize_metric",0.124941724941725,0.576036866359447,0.57948717948718,0.545454545454545,0.475174825174825,"COVID19","HC",0.898617511520737,"class","x",NA,82,113,12,10,0.935714473381567,0.0605240637189095,"Sensitivity: 18",0.57948717948718,0.545454545454545,-0.00102444548245839,0.596254967211669,3.98566666666667,4.25790338402325,0.1205265978069,1.06830393510661,0.217962875987581,0.935714473381567,"Neither: 35","(0.8, Inf]"
"GC","GC",3.84087759180218,145.807817341041,0.36,"<=",17.0692170541901,"maximize_metric",0.82051282051282,0.838709677419355,0.82051282051282,1,0.933799533799534,"COVID19","HC",0.898617511520737,"class","x",NA,35,160,22,0,-0.677137312745309,-0.19782574332992,"Neither: 62",0.82051282051282,0.9999,-3.31555852571092,0.00102322137460632,3601.6401640168,353.471703034626,0.0110724161736998,0.0981418706305213,-2.87789556053156,-0.677137312745309,"FN: 66","(-0.8,0.8]"
"GPLD1","GPLD1",3.61986439394818,233.962243931246,0.42,"<=",14.5997746491504,"maximize_metric",0.718648018648019,0.783410138248848,0.764102564102564,0.954545454545455,0.917948717948718,"COVID19","HC",0.898617511520737,"class","x",NA,46,149,21,1,-0.487390043789206,-0.222533236983395,"Neither: 62",0.764102564102564,0.954545454545455,-1.22473620570736,0.17194734090329,10.8952380952381,4.35069949776922,0.0450516220183203,0.399321195162384,-1.91681020490015,-0.487390043789206,"FN: 66","(-0.8,0.8]"
"GSN","GSN",3.85681831649263,643.204973860521,0.45,"<=",18.081246179789,"maximize_metric",0.841724941724942,0.894009216589862,0.887179487179487,0.954545454545455,0.927389277389277,"COVID19","HC",0.898617511520737,"class","x",NA,22,173,21,1,-0.392516409311154,-0.0731879484310751,"Neither: 62",0.887179487179487,0.954545454545455,-1.31886307977716,0.189033703872437,11.5238095238095,4.29182801345083,0.0420178966351829,0.372431356539121,-2.00261765584745,-0.392516409311154,"FN: 66","(-0.8,0.8]"
"HBA1","HBA1",0.113004594345344,985.18281599309,0.7,">=",19.7144377364525,"maximize_metric",0.148717948717949,0.235023041474654,0.148717948717949,1,0.522377622377622,"COVID19","HC",0.898617511520737,"class","x",NA,166,29,22,0,0.398097211339275,-1.90570372857727,"Neither: 62",0.148717948717949,0.9999,-6.44710825388297,0.000139888167686451,7001.30013001377,5005.29738605389,0.0806564791434903,0.714909701499119,-0.909744091323892,0.398097211339275,"FN: 66","(-0.8,0.8]"
"HBB","HBB",-0.134681525096322,988.416771720126,0.96,"<=",19.1675970961204,"maximize_metric",0.191841491841492,0.382488479262673,0.328205128205128,0.863636363636364,0.497202797202797,"COVID19","HC",0.898617511520737,"class","x",NA,131,64,19,3,1.22033537681572,-0.9675130010122,"Sensitivity: 18",0.328205128205128,0.863636363636364,-1.76026534494305,0.189586112149427,8.24421052631579,6.3469569318405,0.0868569444720321,0.769868371456648,-0.734366937054548,1.22033537681572,"Neither: 35","(0.8, Inf]"
"HPR","HPR",1.60576348406636,3024.6663599476,0.44,"<=",15.4853932020885,"maximize_metric",0.523776223776224,0.608294930875576,0.569230769230769,0.954545454545455,0.715384615384615,"COVID19","HC",0.898617511520737,"class","x",NA,84,111,21,1,-0.424140954137172,-0.51694934161652,"Neither: 62",0.569230769230769,0.954545454545455,-1.28748745508723,0.130242678356842,11.3142857142857,5.17191266145763,0.0515717786755034,0.457113492805599,-1.73239073646712,-0.424140954137172,"FN: 66","(-0.8,0.8]"
"HPX","HPX",0.556729273749226,1285.68990185786,0.53,"<=",20.2867811413906,"maximize_metric",0.244522144522144,0.502304147465438,0.471794871794872,0.772727272727273,0.589510489510489,"COVID19","HC",0.898617511520737,"class","x",NA,103,92,17,5,-0.139520050703017,-0.493381872212607,"Neither: 62",0.471794871794872,0.772727272727273,-0.406241616015747,0.355092287059289,4.23435294117647,3.77196563778762,0.10050062040372,0.890800953578427,-0.348462181219829,-0.139520050703017,"Neither: 35","(-0.8,0.8]"
"HP","HP",3.05973944865939,216.487108473181,0.29,">=",21.7930800334581,"maximize_metric",0.764102564102564,0.788018433179724,0.764102564102564,1,0.892773892773893,"COVID19","HC",0.898617511520737,"class","x",NA,46,149,22,0,-0.898509126527429,-0.269053252618288,"Specificity: 22",0.764102564102564,0.9999,-2.67082769932256,0.00150147707918918,2901.71017101742,194.855712910099,0.00757612585712372,0.0671520246426875,-2.9767864362531,-0.898509126527429,"FN: 66","(-Inf,-0.8]"
"HRG","HRG",4.49924730348457,155.811548291776,0.45,"<=",16.130530770994,"maximize_metric",0.810955710955711,0.866359447004608,0.856410256410256,0.954545454545455,0.952913752913753,"COVID19","HC",0.898617511520737,"class","x",NA,28,167,21,1,-0.392516409311154,-0.108485730512099,"Neither: 62",0.856410256410256,0.954545454545455,-1.31886307977716,0.182641454630793,11.5238095238095,4.36019631127056,0.0426872366138377,0.378364142713561,-1.98368569921594,-0.392516409311154,"FN: 66","(-0.8,0.8]"
